LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,F2122 .T73 1990,,,17,"Trinidad under siege, the Muslimeen uprising : 6 days of terror / Daily Express. "
,F2122 .T73 1996,,,3,"Trinidad & Tobago / edited by Elizabeth Saft ; main photography, Junia Browne and Bill Wassman ; editorial director, Brian Bell. "
,F2122 .T73 2012,,,2,Trinidad and Tobago : 50 years of independence 
,F2122.A3 .R56 2012,,,2,In the midst of it : the autobiography of former president & former prime minister of the Republic of Trinidad and Tobago / A.N.R. Robinson 
,F2122.W5 .D44 1981,,,3,"Eric Williams the man, his ideas, and his politics : (a study of political power) / by Ramesh Deosaran. "
,F2122.W5 .J71 1983,,,5,"Eric Eustace Williams, Ph. D. Oxon : a very private person and his publics. "
,F2122.W5 .R95 2009,,,1,Eric Williams : the myth and the man / Selwyn Ryan. 
,F2122.W5 .W67 2006,,,5,Inward hunger : the education of a prime minister / Eric Williams ; with a new introduction by Colin Palmer. 
,F2123.D54 .D34 1987,,,1,"History of Diego Martin, 1784-1884 : Begorrat--Brunton / Anthony de Verteuil. "
,F2123.P66 .An8 1978 v.1,,,9,Making of Port-of-Spain. Volume 1 / Michael Anthony. 
,F2123.P66 .An8 1978 v.1,Volume 1,,1,Making of Port-of-Spain. Volume 1 / Michael Anthony. 
,F2123.P66 .An8 1983 v.2,,,2,Port-of-Spain in a world at war 1939-1945. Volume II : the making of Port-of-Spain / Michael Anthony 
,F2123.P66 .M44 1996,,,4,Voices in the street / Olga J. Mavrogordato. 
,F2131 .D31 1971,,,4,"West Indies before and since slave emancipation, comprising the Windward and Leeward Islands' military command; founded on notes and observations collected during a three years' residence. "
,F2131 .G74 1980,,,4,Study on the historiography of the British West Indies to the end of the nineteenth century / by Elsa V. Goveia. 
,F2131 .L13 1999,,,1,"Politics, society and culture in the Commonwealth Caribbean / John Gaffar La Guerre. "
,F2131 .W67 1966,,,3,British historians and the West Indies [by] Eric Williams; preface by Alan Bullock. 
,F2155 .J82 2001,,,3,Journal of Caribbean history. 
,F2155.3 .C76 2000,,,1,"Contending with destiny : the Caribbean in the 21st century / edited by Kenneth Hall, Denis Benn. "
,F2161 .C84 2008 v.1,,,29,"Changing society of Tobago, 1838-1938 , Volume I, 1838 - 1900 : a fractured whole / Susan E. Craig-James. "
,F2161 .C84 2008 v.2,,,42,"Changing society of Tobago, 1838-1938 Volume II, 1900-1938 : a fractured whole / Susan E. Craig-James. "
,F2161 .C84 2008 v.2,,,1,"Changing society of Tobago, 1838-1938 Volume II, 1900-1938 : a fractured whole / Susan E. Craig-James. "
,F2169 .B74 1985,,,5,"Social life in the Caribbean, 1838-1938 / Bridget Brereton. "
,F2175 .B73 1993,,,9,"People who came. Book 3 / Kamau Brathwaite, Anthony De V. Phillips with additional editorial work by John Robottom. "
,F2175 .C21 1989,,,17,"People who came. Bk. 2 / James Carnegie, Patricia Patterson (editors) "
,F2175 .C57 1980,,,7,"Caribbean story. Book one : foundations / William Claypole, John Robottom. "
,F2175 .N75 1986,,,13,People who came. Book 1 / Alma Norman. 
,F2175 .R27 2007,,,9,Popular myths about Caribbean history / by Basil A. Reid. 
,F2175 KNI 1997,,,13,"Slave societies of the Caribbean / editor, Franklin W. Knight. "
,F2178.U6 .St4 1982,,,2,United States in the Caribbean / Rosemarie E. Stewart. 
,F2183 .El2 1998,,,1,Elements of regional integration : the way forward / Peter Wickham ... [et al.]. 
,F2183 .G92 1995,,,3,Politics and development in the Caribbean Basin : Central America and the Caribbean in the New World Order / Jean Grugel. 
,F2183 .M72 1993,,,2,Modern Caribbean politics / edited by Anthony Payne and Paul Sutton. 
,F2183 .Su7 1988,,,4,"Caribbean : survival, struggle, and sovereignty / by Catherine A. Sunshine. "
,F2260 .H21 1996,,,1,"Colombia : a guide to the people, politics and culture / Colin Harding. "
,F2384 .J18 1980,,,1,West on trial : the fight for Guyana's freedom / Cheddi Jagan. 
,F2521 .M46 2010,,,4,Brief history of Brazil / Teresa A. Meade. 
,F2521 .Sk3 2010,,,3,Brazil : five centuries of change / Thomas E. Skidmore. 
,F2843 .Ar3 1993,,,2,Argentina since independence / edited by Leslie Bethell. 
,F3093 .C43 1993,,,1,Chile since independence / edited by Leslie Bethell. 
,F3408 .H72 2000,,,1,"Peru : a guide to the people, politics and culture / Jane Holligan de Diaz-Limaco. "
,F3429 .B45 1994,,,3,Incas empire of blood and gold / Carmen Bernand. 
,G155.A1 .F36 1999,,,1,Ecotourism : an introduction / David A. Fennell. 
,GB1002.3 .M78 2002,,,1,Field hydrogeology : a guide for site investigations and report preparation / John E. Moore. 
,GB661.2 .D28 2003,,,1,Fundamentals of hydrology / Tim Davie. 
,GB661.2 .D61 2002,,,1,Physical hydrology / S. Lawrence Dingman. 
,GB661.2 .H99 2011,,,1,Hydrology in practice / Elizabeth M Shaw ... [et al.]. 
,GB980 .B56 1996,,,2,Watershed hydrology / Peter E. Black. 
,GE105 .Al5 2000,,,1,Basics of environmental science / Michael Allaby. 
,GE105 .C91 1999,,,4,"Environmental science : a global concern / William P. Cunningham, Barbara Woodworth Saigo. "
,GE105 .C91 1999,,,1,Environmental Science William P Cunningham. 
,GE105 .En3 2000,,,3,Environmental science : a study of interrelationships. 
,GE105 .P21 1997,,,1,Environment : principles and applications / Chris Park. 
,GE105 JAC 1996,,,4,Environmental science : the natural environment and human impact / Andrew R. W. & Julie M. Jackson. 
,GE115 .W35 2000,,,4,Geography : an integrated approach / David Waugh ; academic research by Elizabeth Clutton ; additional case studies by Sheila Morris ; examination questions by Pete Murray & John Smith. 
,GE160.C27 .In8 2009,,,1,"Global change and Caribbean vulnerability : environment, economy and society at risk / edited by Duncan McGregor, David Dodman, David Barker ; [with a foreword by Omar Davies ; contributors, Steve Bailey ... et al.]. "
,GE300 .Ed9 2004,,,1,ISO 14001 environmental certification step by step / A.J. Edwards. 
,GN25 .Es 2007,,,1,Essence of anthropology / William A. Haviland ... [et al.]. 
,GN25 .H29 2005,,,2,Anthropology : the human challenge / William A. Haviland ... [et al.]. 
,GN316 .F41 2006,,,1,Cultural anthropology : an applied perspective / Gary Ferraro. 
,GN316 .Sch8 2005,,,1,"Cultural anthropology : a perspective on the human condition / Emily A. Schultz, Robert H. Lavenda. "
,GN502 .H88 1999,,,18,Human behavior in global perspective : an introduction to cross-cultural psychology / Marshall H. Segall ... [et al.]. 
,GN502 .M42 2008,,,67,"Culture and psychology / David Matsumoto, Linda Juang. "
,GN502 .P93 2002,,,27,"Cross-cultural perspectives in introductory psychology / William F. Price, Richley H. Crapo. "
,GN502 .Sh6 2004,,,14,"Cross-cultural psychology : critical thinking and contemporary applications / Eric Shiraev, David Levy. "
,GR120 .C19 2005.,,,1,Caribbean Indian folktales / collected by Kumar Mahabir ; foreword by Vibert C. Cambridge ; illustrations by Angali Dabideen & Preddie Partap. 
,GR120 .Sh5 2000,,,3,Tales from the West Indies / retold by Philip Sherlock ; illustrated by Rosamund Fowler. 
,GR65 .F71 1982,,,2,Folklore and folklife : an introduction / edited by Richard M. Dorson. 
,GR72 .L76 2003,,,1,Bringing out their best : values education and character development through traditional tales / Norma J. Livo. 
,GT3405 .Sh7 2004,,,4,Successful event management : a practical handbook / Anton Shone with Bryn Parry. 
,GT4229.T7 .G76 2004,,,1,Carnivalitis : the conflicting discourse of carnival / L. Trevor Grant 
,GT4229.T7 .L75 2001,,,3,"Rituals of power and rebellion : the carnival tradition in Trinidad & Tobago 1763-1962 / Hollis ""Chalkdust"" Liverpool. "
,GT4229.T7 .T73 1988,,,2,Trinidad carnival. 
,GT4229.T8 .An8 2010,,,3,Carnivals of Trinidad and Tobago : from inception to year 2000 / Michael Anthony. 
,GT4229.T8 .M45 2004,,,1,Carnival through the years : downtown mas 1903 to 2003 / by Gideon Maxime. 
,GT4890 .F42 2005,,,7,Festival and special event management / Johnny Allen ... [et al.]. 
,GV351 .Sp6 2012 HEC,,,1,"Sports & athletics in higher education / James W. Satterfield, Robin H. Hughes and Kerri Kearney, editors ; Edna Martinez, associate editor. "
,GV706.4 .L57 2002,,,5,"Sport psychology : an introduction / Arnold LeUnes, Jack R. Nation. "
,GV716 .M29 2008,,,1,"Sport, recreation and tourism event management : theoretical and practical dimensions / Cheryl Mallen, Lorne Adams. "
,GV923 .G93 2010,,,1,Guardian General/NEMWIL international cricket annual 2010 / compiled and edited by Harold H. Eastmond. 
,GV928.W47 .J23 1963,,,4,Beyond a boundary / C.L.R. James. 
,H53.C37 .C76 1994,,,1,Contemporary issues in social science. 
,H61 .B45 2001,,,1,Qualitative research methods for the social sciences / Bruce L. Berg. 
,H61 .F85 1996,,,2,"Research methods in the social sciences / Chava Frankfort-Nachmias, David Nachmias. "
,H61 .Sh1 2006 HEC,,,2,Qualitative research : a personal skills approach / Gary D. Shank. 
,H61.28 .W67 2005,,,1,Cognitive interviewing : a tool for improving questionnaire design / Gordon B. Willis. 
,H62 .B11 2007,,,12,Practice of social research / Earl Babbie. 
,H62 .B11 2008,,,26,Basics of social research / Earl Babbie. 
,H62 .B72 2004,,,1,"Asking questions : the definitive guide to questionnaire design--for market research, political polls, and social and health questionnaires / Norman M. Bradburn, Brian Wansink, Seymour Sudman. "
,H62 .C78 1998,,,1,Synthesizing research : a guide for literature reviews / Harris Cooper. 
,H62 .C86 2003,,,7,"Research design : qualitative, quantitative, and mixed method approaches / John W. Creswell. "
,H62 .C86 2009,,,11,"Research design : qualitative, quantitative, and mixed methods approaches / John W. Creswell. "
,H62 .D43 2002,,,3,Ground rules for good research : a 10 point guide for social researchers / Martyn Denscombe. 
,H62 .Es8 2002,,,1,Qualitative methods in social research / Kristin G. Esterberg. 
,H62 .H25 1998,,,5,Doing a literature review : releasing the social science research imagination / Chris Hart. 
,H62 .P96 2000,,,7,Developing effective research proposals / Keith F. Punch. 
,H62 .Q2 2003,,,6,Qualitative research practice : a guide for social science students and researchers / edited by Jane Ritchie and Jane Lewis. 
,H62 .R57 2002,,,3,Real world research : a resource for social scientists and practitioner-researchers / Colin Robson. 
,H62 .Sa3 1994,,,1,How to conduct your own survey / Priscilla Salant and Don A. Dillman. 
,H62 .Sh6 1997,,,1,Limitations of social research / Marten Shipman. 
,H62 .Si3 2000,,,6,Doing qualitative research : a practical handbook / David Silverman. 
,H68 .H87 1997,,,1,"Philosophy of social research / John A. Hughes, Wesley W. Sharrock. "
,HA 29 .Ow2 1994,,,1,"Statistics / Frank Owen, Ron Jones. "
,HA29 .D79 2003,,,1,Statistics made easy / Rob Dransfield. 
,HA29 .G78 2008,,,2,"Essentials of statistics for the behavioral sciences / Frederick J. Gravetter, Larry B. Wallnau. "
,HA29 .L57 2010,,,2,"Elementary statistics in social research / Jack Levin, James Alan Fox, David R. Forde. "
,HA29 .M38 2002,,,2,"Statistical techniques in business & economics / Douglas A. Lind, William G. Marchal, Robert D. Mason. "
,HA29 .Up8 2001,,,8,"Introducing statistics / Graham Upton, Ian Cook. "
,HA29 .W14 2001,,,1,"Essential statistics for the social and behavioral sciences : a conceptual approach / Anthony Walsh, Jane C. Ollenburger. "
,HA31.2 .C99 2005,,,1,"Designing surveys : a guide to decisions and procedures / Ronald Czaja, Johnny Blair. "
,HA32 .G82 2011,,,2,"Using SPSS for Windows and Macintosh : analyzing and understanding data / Samuel B. Green, Neil J. Salkind. "
,HA32 .Sw3 2003,,,2,"Data analysis with SPSS : a first course in applied statistics / Stephen A. Sweet, Karen Grace-Martin. "
,HA35 .H23 2000,,,1,Statistics / W.M. Harper. 
,HB 171 .L66 1999,,,18,"Principles of economics / Richard G. Lipsey, K. Alec Chrystal. "
,HB 171.5 .St2 2002,,,8,Stanlake's Introductory Economics SJ Grant 
,HB 171.5 STR,,,3,Economic perspective 
,HB135 .Ok1 2007,,,4,Real analysis with economic applications / Efe A. Ok. 
,HB171 .D65 1998,,,9,"Introduction to economics / Stephen Dobson, Susan Palfreman. "
,HB171 .L66 1993,,,1,Introduction to positive economics / Richard G. Lipsey 
,HB171 BEA 1984,,,5,Economics : a student's guide / John Beardshaw. 
,HB171.5 .B38 1992,,,6,Economics : a student's guide / John Beardshaw ; with contributions by Andy Ross. 
,HB171.5 .H26 1998,,,5,Modern economics : an introduction for business and professional students / Jack H arvey. 
,HB171.5 .L66 1999,,,26,"Economics / Richard G. Lipsey, Paul N. Courant, Christopher T.S. Ragan. "
,HB171.5 .M13 1996,,,4,"Economics : principles, problems, and policies / Campbell R. McConnell, Stanley L. Brue. "
,HB171.5 .M13 1996 Suppl.,,,5,"Study guide to accompany McConnell and Brue Economics / William B. Walstad, Robert C. Bingham. "
,HB171.5 .O28 2003,,,6,"Economics : principles and tools / Arthur O'Sullivan, Steven M. Sheffrin. "
,HB171.5 .Sl5 2003,,,33,Economics / John Sloman ; with the collaboration of Mark Sutcliffe. 
,HB171.5 .Sl5 2004,,,42,Economics for business / John Sloman and Mark Sutcliffe. 
,HB171.5 .St2 1998,,,9,Starting economics / G.F. Stanlake. 
,HB171.5 .W51 2000,,,8,Economics / Walter J. Wessels. 
,HB171.5 ESS 1995,,,1,Essential readings in economics / edited by Saul Estrin and Alan Marin. 
,HB171.5 GRA 1996,,,10,Economics 'A' level / Susan Grant and Richard Young. 
,HB171.5 H22 1999,,,162,"Introduction to modern economics / Philip Hardwick, Bahadur Khan, John Langmead. "
,HB171.5 MIL 1994,,,6,Economics today / Roger LeRoy Miller. 
,HB171.5 MIL 1994,,,2,"Your economic life : the practical applications of economics : a student guide to accompany Economics today, eighth edition / Roger LeRoy Miller. "
,HB172 .M15a 2009,,,4,Econ micro / William A. McEachern. 
,HB172 MAX 1992,,,1,"Study guide for use with Microeconomics, second edition [by] David N. Hyman / prepared by Donald P. Maxwell. "
,HB172 McC 1996,,,9,"Microeconomics : principles, problems, and policies / Campbell R. McConnell, Stanley L. Brue. "
,HB172 PAR 1996,,,5,"Principles of economics : microeconomics / Kenneth Parzych ; contributing editors, Jack Inch, Koula Mantzouranis, James E. Howard. "
,HB172 REY 1985,,,1,Microeconomics : analysis & policy / Lloyd G. Reynolds. 
,HB172.5 .M15 2009,,,9,Econ macro / William A. McEachern. 
,HB172.5 .P44 1991,,,6,Principles of economics : macro / Willis L. Peterson. 
,HB172.5 BIR 1987,,,2,"International macroeconomics : theory, policy, and applications / Graham Bird. "
,HB172.5 HAL 1993,,,7,"Macroeconomics / Robert E. Hall, John B. Taylor. "
,HB172.5 STI 1993,,,2,Principles of macroeconomics / Joseph E. Stiglitz. 
,HB33 Leg 1984,,,1,Economics of social problems: the market versus the state 
,HB3730 .El5 2005,,,1,Ahead of the curve : a commonsense guide to forecasting business and market cycles / Joseph H. Ellis. 
,HB615 .B55 2007,,,3,Error(12001)
,HB615 .B76a 2010,,,1,You can do it too : the 20 essential things every budding entrepreneur should know / Rachel Bridge. 
,HB615 .D84 2009,,,2,"How to be a successful entrepreneur : spot the opportunity, take a risk and build a brilliant business / Helga Drummond. "
,HB615 .El1 2008,,,1,Gender and entrepreneurship : a multilevel theory and analysis / Amanda Brickman Elam. 
,HB615 .En8 2000,,,1,Entrepreneurship : the social science view / edited by Richard Swedberg. 
,HB615 .G83 2011zCopies 5 & 6 temporarily relocated to Chaguanas Campus.,,,4,Entrepreneurship / Cynthia L. Greene. 
,HB615 .H19 2007,,,1,Handbook of Research on Entrepreneurship Policy. 
,HB615 .H35 2009,,,3,Error(12001)
,HB615 .N15 2009,,,1,Unleashing your entrepreneurial potential / Raghu Nandan. 
,HB615 HIS 1998,,,1,"Entrepreneurship / Robert D. Hirsch, Michael P. Peters. "
,HB95 .M34 2001,,,1,Market killing : what the free market does and what social scientists can do about it / edited by Greg Philo and David Miller. 
,HC102.5.A2 .M85 2005,,,3,Starting from scratch : secrets from 21 ordinary people who made the entrepreneurial leap / Wes Moss. 
,HC125 .L34745 1999 HEC,,,3,Error(12001)
,HC125 .W21 1997,,,1,Latin America : development and conflict since 1945 / John Ward. 
,HC130.E5 .G51 2002,,,1,Globalisation and sustainable development in Latin America : perspectives on the new economic order / edited by Suranjit Kumar Saha and David Parker. 
,HC151 .B69 1993,,,1,Ideology and Caribbean integration / Ian Boxill. 
,HC151 .C19 2005,,,4,CARICOM : our Caribbean community : an introduction / CARICOM Secretariat. 
,HC151 .D39 1996,,,4,West Indian development and the deepening and widening of the Caribbean Community / William G. Demas. 
,HC151 .P29 2008,,,1,Political history of CARICOM / Anthony J. Payne. 
,HC151 .W52 2010,,,4,West Indian business history : enterprise and entrepreneurship / edited by B. W. Higman and Kathleen E. A. Monteith. 
,HC154 .B38 1982,,,1,"Small garden-- bitter weed : the political economy of struggle and change in Jamaica / George Beckford, Michael Witter. "
,HC154 .H14 1959,,,1,"Free Jamaica, 1838-1865; an economic history. "
,HC154 .L62 2003 DVD,,,10,Life and debt [videorecording] / a Tuff Gong Pictures Production ; a film by Stephanie Black ; narration written by Jamaica Kincaid ; produced and directed by Stephanie Black. 
